LightCondition,RoundNo.,ForestType,ForestNo.,ColSize,food_type,supplied_by,Trials,Time,No.Ants
Light,2,RubberForest,4,879,tuna,untreated,tuna_untreated,20,0
Light,2,RubberForest,4,879,tuna,untreated,tuna_untreated,30,1
Light,2,RubberForest,4,879,tuna,untreated,tuna_untreated,40,2
Light,2,RubberForest,4,879,tuna,untreated,tuna_untreated,50,1
Light,2,RubberForest,4,879,tuna,untreated,tuna_untreated,60,1
Light,2,RubberForest,4,879,termite,paper,termite_paper,10,2
Light,2,RubberForest,4,879,termite,paper,termite_paper,20,1
Light,2,RubberForest,4,879,termite,paper,termite_paper,30,2
Light,2,RubberForest,4,879,termite,paper,termite_paper,40,2
Light,2,RubberForest,4,879,termite,paper,termite_paper,50,0
Light,2,RubberForest,4,879,termite,paper,termite_paper,60,0
Light,2,RubberForest,4,879,tuna,paper,tuna_paper,10,1
Light,2,RubberForest,4,879,tuna,paper,tuna_paper,20,2
Light,2,RubberForest,4,879,tuna,paper,tuna_paper,30,7
Light,2,RubberForest,4,879,tuna,paper,tuna_paper,40,4
Light,2,RubberForest,4,879,tuna,paper,tuna_paper,50,4
Light,2,RubberForest,4,879,tuna,paper,tuna_paper,60,4
Light,2,RubberForest,5,7389,termite,untreated,termite_untreated,10,2
Light,2,RubberForest,5,7389,termite,untreated,termite_untreated,20,3
Light,2,RubberForest,5,7389,termite,untreated,termite_untreated,30,0
Light,2,RubberForest,5,7389,termite,untreated,termite_untreated,40,1
Light,2,RubberForest,5,7389,termite,untreated,termite_untreated,50,4
Light,2,RubberForest,5,7389,termite,untreated,termite_untreated,60,2
Light,2,RubberForest,5,7389,tuna,untreated,tuna_untreated,10,2
Light,2,RubberForest,5,7389,tuna,untreated,tuna_untreated,20,3
Light,2,RubberForest,5,7389,tuna,untreated,tuna_untreated,30,5
Light,2,RubberForest,5,7389,tuna,untreated,tuna_untreated,40,2
Light,2,RubberForest,5,7389,tuna,untreated,tuna_untreated,50,3
Light,2,RubberForest,5,7389,tuna,untreated,tuna_untreated,60,4
Light,2,RubberForest,5,7389,termite,paper,termite_paper,10,0
Light,2,RubberForest,5,7389,termite,paper,termite_paper,20,0
Light,2,RubberForest,5,7389,termite,paper,termite_paper,30,0
Light,2,RubberForest,5,7389,termite,paper,termite_paper,40,0
Light,2,RubberForest,5,7389,termite,paper,termite_paper,50,0
Light,2,RubberForest,5,7389,termite,paper,termite_paper,60,1
Light,2,RubberForest,5,7389,tuna,paper,tuna_paper,10,4
Light,2,RubberForest,5,7389,tuna,paper,tuna_paper,20,5
Light,2,RubberForest,5,7389,tuna,paper,tuna_paper,30,3
Light,2,RubberForest,5,7389,tuna,paper,tuna_paper,40,8
Light,2,RubberForest,5,7389,tuna,paper,tuna_paper,50,7
Light,2,RubberForest,5,7389,tuna,paper,tuna_paper,60,7
Light,2,RubberForest,6,2094,termite,untreated,termite_untreated,10,1
Light,2,RubberForest,6,2094,termite,untreated,termite_untreated,20,0
