Condition,RoundNo.,ForestType,ForestNo.,ColSize,food_type,supplied_by,Trials,Time,No.Ants
Light,2,RubberForest,4,879,tuna,cube,tuna_cube,30,3
Light,2,RubberForest,4,879,tuna,cube,tuna_cube,40,6
Light,2,RubberForest,4,879,tuna,cube,tuna_cube,50,2
Light,2,RubberForest,4,879,tuna,cube,tuna_cube,60,5
Light,2,RubberForest,4,879,tuna,caterpillar,tuna_caterpillar,10,1
Light,2,RubberForest,4,879,tuna,caterpillar,tuna_caterpillar,20,2
Light,2,RubberForest,4,879,tuna,caterpillar,tuna_caterpillar,30,3
Light,2,RubberForest,4,879,tuna,caterpillar,tuna_caterpillar,40,7
Light,2,RubberForest,4,879,tuna,caterpillar,tuna_caterpillar,50,1
Light,2,RubberForest,4,879,tuna,caterpillar,tuna_caterpillar,60,1
Light,2,RubberForest,5,7389,termite,cube,termite_cube,10,2
Light,2,RubberForest,5,7389,termite,cube,termite_cube,20,1
Light,2,RubberForest,5,7389,termite,cube,termite_cube,30,3
Light,2,RubberForest,5,7389,termite,cube,termite_cube,40,4
Light,2,RubberForest,5,7389,termite,cube,termite_cube,50,5
Light,2,RubberForest,5,7389,termite,cube,termite_cube,60,5
Light,2,RubberForest,5,7389,termite,caterpillar,termite_caterpillar,10,3
Light,2,RubberForest,5,7389,termite,caterpillar,termite_caterpillar,20,0
Light,2,RubberForest,5,7389,termite,caterpillar,termite_caterpillar,30,2
Light,2,RubberForest,5,7389,termite,caterpillar,termite_caterpillar,40,1
Light,2,RubberForest,5,7389,termite,caterpillar,termite_caterpillar,50,1
Light,2,RubberForest,5,7389,termite,caterpillar,termite_caterpillar,60,0
Light,2,RubberForest,5,7389,tuna,cube,tuna_cube,10,0
Light,2,RubberForest,5,7389,tuna,cube,tuna_cube,20,2
Light,2,RubberForest,5,7389,tuna,cube,tuna_cube,30,5
Light,2,RubberForest,5,7389,tuna,cube,tuna_cube,40,2
Light,2,RubberForest,5,7389,tuna,cube,tuna_cube,50,5
Light,2,RubberForest,5,7389,tuna,cube,tuna_cube,60,0
Light,2,RubberForest,5,7389,tuna,caterpillar,tuna_caterpillar,10,0
Light,2,RubberForest,5,7389,tuna,caterpillar,tuna_caterpillar,20,4
Light,2,RubberForest,5,7389,tuna,caterpillar,tuna_caterpillar,30,3
Light,2,RubberForest,5,7389,tuna,caterpillar,tuna_caterpillar,40,3
Light,2,RubberForest,5,7389,tuna,caterpillar,tuna_caterpillar,50,3
Light,2,RubberForest,5,7389,tuna,caterpillar,tuna_caterpillar,60,1
Light,2,RubberForest,6,2094,termite,cube,termite_cube,10,0
Light,2,RubberForest,6,2094,termite,cube,termite_cube,20,1
Light,2,RubberForest,6,2094,termite,cube,termite_cube,30,1
Light,2,RubberForest,6,2094,termite,cube,termite_cube,40,3
Light,2,RubberForest,6,2094,termite,cube,termite_cube,50,1
Light,2,RubberForest,6,2094,termite,cube,termite_cube,60,2
Light,2,RubberForest,6,2094,termite,caterpillar,termite_caterpillar,10,5
Light,2,RubberForest,6,2094,termite,caterpillar,termite_caterpillar,20,1
Light,2,RubberForest,6,2094,termite,caterpillar,termite_caterpillar,30,2
Light,2,RubberForest,6,2094,termite,caterpillar,termite_caterpillar,40,2
Light,2,RubberForest,6,2094,termite,caterpillar,termite_caterpillar,50,1
Light,2,RubberForest,6,2094,termite,caterpillar,termite_caterpillar,60,2
Light,2,RubberForest,6,2094,tuna,cube,tuna_cube,10,20
Light,2,RubberForest,6,2094,tuna,cube,tuna_cube,20,18
Light,2,RubberForest,6,2094,tuna,cube,tuna_cube,30,25
Light,2,RubberForest,6,2094,tuna,cube,tuna_cube,40,24
Light,2,RubberForest,6,2094,tuna,cube,tuna_cube,50,14
Light,2,RubberForest,6,2094,tuna,cube,tuna_cube,60,14
Light,2,RubberForest,6,2094,tuna,caterpillar,tuna_caterpillar,10,9
Light,2,RubberForest,6,2094,tuna,caterpillar,tuna_caterpillar,20,6
Light,2,RubberForest,6,2094,tuna,caterpillar,tuna_caterpillar,30,5
Light,2,RubberForest,6,2094,tuna,caterpillar,tuna_caterpillar,40,6
Light,2,RubberForest,6,2094,tuna,caterpillar,tuna_caterpillar,50,4
Light,2,RubberForest,6,2094,tuna,caterpillar,tuna_caterpillar,60,7
Dark,1,RubberForest,4,879,termite,cube,termite_cube,10,3
Dark,1,RubberForest,4,879,termite,cube,termite_cube,20,1
Dark,1,RubberForest,4,879,termite,cube,termite_cube,30,0
Dark,1,RubberForest,4,879,termite,cube,termite_cube,40,5
Dark,1,RubberForest,4,879,termite,cube,termite_cube,50,1
Dark,1,RubberForest,4,879,termite,cube,termite_cube,60,3
Dark,1,RubberForest,4,879,termite,caterpillar,termite_caterpillar,10,2
Dark,1,RubberForest,4,879,termite,caterpillar,termite_caterpillar,20,1
Dark,1,RubberForest,4,879,termite,caterpillar,termite_caterpillar,30,1
Dark,1,RubberForest,4,879,termite,caterpillar,termite_caterpillar,40,1
Dark,1,RubberForest,4,879,termite,caterpillar,termite_caterpillar,50,3
Dark,1,RubberForest,4,879,termite,caterpillar,termite_caterpillar,60,2
Dark,1,RubberForest,4,879,tuna,cube,tuna_cube,10,4
Dark,1,RubberForest,4,879,tuna,cube,tuna_cube,20,5
Dark,1,RubberForest,4,879,tuna,cube,tuna_cube,30,7
Dark,1,RubberForest,4,879,tuna,cube,tuna_cube,40,9
Dark,1,RubberForest,4,879,tuna,cube,tuna_cube,50,7
Dark,1,RubberForest,4,879,tuna,cube,tuna_cube,60,10
Dark,1,RubberForest,4,879,tuna,caterpillar,tuna_caterpillar,10,2
Dark,1,RubberForest,4,879,tuna,caterpillar,tuna_caterpillar,20,4
Dark,1,RubberForest,4,879,tuna,caterpillar,tuna_caterpillar,30,4
Dark,1,RubberForest,4,879,tuna,caterpillar,tuna_caterpillar,40,10
Dark,1,RubberForest,4,879,tuna,caterpillar,tuna_caterpillar,50,9
Dark,1,RubberForest,4,879,tuna,caterpillar,tuna_caterpillar,60,14
Dark,1,RubberForest,5,7389,termite,cube,termite_cube,10,1
Dark,1,RubberForest,5,7389,termite,cube,termite_cube,20,0
Dark,1,RubberForest,5,7389,termite,cube,termite_cube,30,2
Dark,1,RubberForest,5,7389,termite,cube,termite_cube,40,0
Dark,1,RubberForest,5,7389,termite,cube,termite_cube,50,1
Dark,1,RubberForest,5,7389,termite,cube,termite_cube,60,0
Dark,1,RubberForest,5,7389,termite,caterpillar,termite_caterpillar,10,0
Dark,1,RubberForest,5,7389,termite,caterpillar,termite_caterpillar,20,0
Dark,1,RubberForest,5,7389,termite,caterpillar,termite_caterpillar,30,1
Dark,1,RubberForest,5,7389,termite,caterpillar,termite_caterpillar,40,2
Dark,1,RubberForest,5,7389,termite,caterpillar,termite_caterpillar,50,1
Dark,1,RubberForest,5,7389,termite,caterpillar,termite_caterpillar,60,1
Dark,1,RubberForest,5,7389,tuna,cube,tuna_cube,10,2
Dark,1,RubberForest,5,7389,tuna,cube,tuna_cube,20,1
Dark,1,RubberForest,5,7389,tuna,cube,tuna_cube,30,4
Dark,1,RubberForest,5,7389,tuna,cube,tuna_cube,40,6
Dark,1,RubberForest,5,7389,tuna,cube,tuna_cube,50,8
Dark,1,RubberForest,5,7389,tuna,cube,tuna_cube,60,10
Dark,1,RubberForest,5,7389,tuna,caterpillar,tuna_caterpillar,10,1
Dark,1,RubberForest,5,7389,tuna,caterpillar,tuna_caterpillar,20,3
Dark,1,RubberForest,5,7389,tuna,caterpillar,tuna_caterpillar,30,3
Dark,1,RubberForest,5,7389,tuna,caterpillar,tuna_caterpillar,40,2
Dark,1,RubberForest,5,7389,tuna,caterpillar,tuna_caterpillar,50,5
Dark,1,RubberForest,5,7389,tuna,caterpillar,tuna_caterpillar,60,8
Dark,1,RubberForest,6,2094,termite,cube,termite_cube,10,1
Dark,1,RubberForest,6,2094,termite,cube,termite_cube,20,4
Dark,1,RubberForest,6,2094,termite,cube,termite_cube,30,2
Dark,1,RubberForest,6,2094,termite,cube,termite_cube,40,4
Dark,1,RubberForest,6,2094,termite,cube,termite_cube,50,4
Dark,1,RubberForest,6,2094,termite,cube,termite_cube,60,8
Dark,1,RubberForest,6,2094,termite,caterpillar,termite_caterpillar,10,0
Dark,1,RubberForest,6,2094,termite,caterpillar,termite_caterpillar,20,2
